name,invasive
1,0.6
2,0.8
3,0.6
4,0.8
5,0.8
6,1.0
7,0.6
8,0.8
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,0.8
15,0.6
16,0.6
17,0.8
18,0.8
19,0.6
20,0.6
21,1.0
22,1.0
23,1.0
24,0.6
25,1.0
26,0.8
27,0.6
28,0.8
29,0.6
30,0.6
31,0.8
32,0.8
33,1.0
34,1.0
35,0.6
36,0.8
37,0.6
38,0.6
39,0.6
40,0.6
41,1.0
42,0.6
43,0.6
44,0.6
45,1.0
46,0.6
47,0.6
48,1.0
49,0.6
50,1.0
51,0.8
52,1.0
53,0.6
54,0.6
55,0.6
56,1.0
57,0.8
58,1.0
59,0.8
60,0.6
61,0.6
62,1.0
63,1.0
64,1.0
65,0.6
66,0.6
67,0.6
68,0.8
69,0.6
70,1.0
71,1.0
72,0.8
73,0.6
74,0.6
75,0.6
76,0.6
77,0.8
78,1.0
79,0.8
80,0.6
81,0.8
82,0.6
83,0.6
84,0.6
85,0.8
86,0.8
87,1.0
88,0.6
89,0.8
90,0.8
91,0.6
92,0.6
93,0.6
94,0.6
95,1.0
96,0.8
97,1.0
98,0.8
99,1.0
100,0.6
101,0.6
102,0.8
103,0.8
104,1.0
105,0.8
106,0.6
107,0.8
108,1.0
109,0.8
110,1.0
111,0.6
112,0.6
113,0.6
114,0.6
115,0.6
116,1.0
117,1.0
118,0.6
119,0.8
120,1.0
121,1.0
122,0.6
123,0.8
124,1.0
125,0.6
126,0.6
127,1.0
128,1.0
129,0.6
130,0.8
131,0.6
132,0.6
133,0.6
134,1.0
135,0.6
136,0.8
137,1.0
138,0.6
139,1.0
140,1.0
141,0.8
142,0.6
143,0.8
144,0.8
145,0.6
146,0.6
147,0.6
148,1.0
149,0.8
150,0.8
151,0.8
152,0.6
153,0.6
154,1.0
155,0.6
156,1.0
157,1.0
158,0.6
159,1.0
160,1.0
161,0.6
162,1.0
163,0.6
164,0.8
165,1.0
166,0.8
167,0.6
168,1.0
169,1.0
170,0.6
171,0.8
172,1.0
173,1.0
174,1.0
175,0.8
176,1.0
177,0.8
178,0.6
179,1.0
180,0.6
181,1.0
182,1.0
183,0.6
184,0.8
185,0.8
186,0.8
187,0.6
188,0.6
189,0.8
190,0.8
191,0.6
192,1.0
193,1.0
194,1.0
195,1.0
196,0.6
197,0.8
198,0.8
199,1.0
200,0.6
201,0.6
202,0.8
203,0.8
204,0.8
205,1.0
206,0.8
207,0.6
208,1.0
209,0.6
210,1.0
211,0.8
212,0.8
213,0.6
214,0.8
215,1.0
216,0.8
217,0.8
218,1.0
219,0.8
220,1.0
221,1.0
222,0.8
223,0.8
224,0.6
225,1.0
226,0.6
227,1.0
228,0.6
229,1.0
230,1.0
231,1.0
232,0.8
233,0.8
234,1.0
235,0.6
236,1.0
237,1.0
238,0.6
239,1.0
240,0.6
241,0.6
242,0.6
243,0.6
244,1.0
245,0.6
246,0.6
247,1.0
248,0.6
249,1.0
250,0.8
251,0.8
252,0.8
253,1.0
254,0.8
255,0.8
256,0.6
257,0.6
258,0.6
259,0.8
260,0.6
261,0.6
262,0.6
263,0.6
264,1.0
265,0.8
266,0.6
267,1.0
268,1.0
269,1.0
270,0.6
271,1.0
272,1.0
273,0.8
274,0.8
275,1.0
276,1.0
277,1.0
278,0.6
279,0.6
280,0.8
281,1.0
282,1.0
283,0.8
284,1.0
285,1.0
286,0.6
287,0.8
288,0.8
289,0.8
290,1.0
291,1.0
292,0.6
293,1.0
294,1.0
295,0.8
296,0.6
297,1.0
298,0.6
299,1.0
300,0.8
301,0.8
302,0.8
303,0.6
304,0.6
305,1.0
306,0.8
307,0.6
308,0.6
309,0.8
310,0.8
311,1.0
312,1.0
313,0.8
314,1.0
315,0.8
316,0.6
317,0.6
318,1.0
319,1.0
320,0.8
321,1.0
322,0.6
323,1.0
324,0.6
325,1.0
326,0.6
327,0.6
328,0.8
329,1.0
330,1.0
331,0.8
332,0.6
333,1.0
334,1.0
335,0.8
336,0.8
337,0.6
338,1.0
339,0.8
340,1.0
341,1.0
342,0.8
343,1.0
344,0.8
345,1.0
346,0.8
347,0.8
348,1.0
349,1.0
350,1.0
351,0.8
352,1.0
353,0.8
354,1.0
355,1.0
356,0.8
357,0.6
358,0.6
359,0.6
360,0.6
361,1.0
362,1.0
363,0.6
364,1.0
365,0.6
366,0.6
367,1.0
368,0.8
369,0.6
370,1.0
371,1.0
372,1.0
373,0.6
374,0.8
375,0.8
376,0.6
377,0.6
378,0.6
379,0.8
380,0.6
381,0.8
382,1.0
383,0.8
384,1.0
385,1.0
386,0.8
387,0.8
388,0.8
389,1.0
390,0.8
391,0.6
392,0.6
393,0.8
394,0.6
395,0.6
396,0.6
397,0.6
398,0.6
399,1.0
400,0.6
401,0.6
402,0.8
403,0.6
404,0.6
405,0.6
406,1.0
407,0.8
408,0.6
409,0.8
410,0.8
411,1.0
412,0.8
413,0.6
414,0.6
415,0.8
416,0.6
417,0.6
418,0.8
419,0.8
420,1.0
421,0.6
422,1.0
423,0.6
424,0.6
425,1.0
426,0.6
427,1.0
428,1.0
429,0.6
430,0.8
431,0.6
432,0.6
433,1.0
434,0.6
435,1.0
436,0.6
437,0.6
438,1.0
439,0.6
440,1.0
441,1.0
442,0.6
443,0.8
444,0.6
445,0.8
446,0.8
447,0.8
448,0.6
449,1.0
450,1.0
451,0.8
452,0.6
453,0.8
454,1.0
455,0.6
456,0.8
457,0.8
458,0.6
459,0.8
460,0.8
461,1.0
462,0.6
463,0.6
464,0.8
465,1.0
466,0.6
467,0.6
468,0.8
469,1.0
470,0.6
471,0.8
472,1.0
473,0.6
474,0.6
475,0.6
476,0.6
477,0.8
478,0.6
479,1.0
480,0.6
481,0.6
482,1.0
483,1.0
484,0.8
485,1.0
486,0.8
487,0.6
488,1.0
489,0.6
490,0.8
491,1.0
492,0.8
493,0.6
494,1.0
495,0.6
496,1.0
497,0.8
498,1.0
499,1.0
500,1.0
501,1.0
502,1.0
503,1.0
504,0.8
505,0.6
506,0.6
507,0.6
508,0.6
509,0.8
510,1.0
511,0.6
512,1.0
513,0.8
514,0.8
515,1.0
516,0.6
517,0.6
518,0.6
519,0.8
520,0.8
521,0.6
522,1.0
523,1.0
524,0.8
525,1.0
526,1.0
527,1.0
528,1.0
529,0.6
530,0.8
531,0.8
532,0.8
533,1.0
534,1.0
535,0.8
536,0.6
537,0.6
538,1.0
539,0.8
540,0.8
541,0.6
542,0.8
543,0.6
544,0.6
545,0.8
546,0.6
547,0.8
548,0.6
549,0.6
550,0.8
551,0.8
552,0.8
553,0.6
554,0.8
555,0.6
556,0.6
557,1.0
558,0.8
559,1.0
560,0.6
561,0.6
562,0.6
563,0.8
564,0.6
565,0.6
566,1.0
567,1.0
568,0.6
569,0.6
570,1.0
571,0.8
572,0.6
573,0.8
574,0.6
575,0.8
576,1.0
577,0.8
578,0.8
579,0.6
580,0.6
581,1.0
582,0.8
583,0.8
584,0.8
585,1.0
586,0.6
587,0.6
588,0.6
589,0.8
590,0.8
591,0.8
592,0.8
593,1.0
594,1.0
595,1.0
596,0.6
597,0.8
598,1.0
599,0.8
600,0.6
601,0.6
602,0.6
603,0.6
604,1.0
605,0.6
606,0.8
607,1.0
608,0.6
609,0.8
610,0.6
611,0.8
612,0.8
613,1.0
614,0.8
615,1.0
616,0.6
617,1.0
618,0.8
619,0.8
620,0.6
621,0.8
622,0.8
623,0.8
624,0.8
625,0.6
626,1.0
627,0.6
628,1.0
629,1.0
630,0.8
631,1.0
632,0.6
633,1.0
634,0.8
635,1.0
636,0.6
637,0.6
638,0.8
639,0.6
640,0.8
641,0.6
642,0.6
643,1.0
644,1.0
645,0.6
646,0.6
647,0.6
648,1.0
649,0.6
650,1.0
651,0.6
652,1.0
653,0.6
654,0.6
655,0.8
656,1.0
657,0.8
658,0.6
659,1.0
660,1.0
661,0.8
